height,latitude,longitude,img
1102.06640625, 29.273681640625, 102.96900177001953,
906.9961547851562, 29.290836334228516, 102.99600219726562,
1244.6318359375, 39.57296371459961, 70.06914520263672,
1140.1588134765625, 69.58349609375, -69.04159545898438,
629.890869140625, 39.60475158691406, 70.26887512207031,
932.0511474609375, 69.71981048583984, -69.59137725830078,
721.5960083007812, 69.84248352050781, -69.3929214477539,
776.9038696289062, -68.91726684570312, -70.94697570800781,
1163.5526123046875, 70.446533203125, -51.638694763183594,
1022.990966796875, 70.67854309082031, -51.900840759277344,
620.9488525390625, -72.09480285644531, 24.616878509521484,
640.7745971679688, -10.525236129760742, -138.68426513671875,
725.556640625, 28.173168182373047, 90.16372680664062,
710.9384765625, 28.14933967590332, 90.0730972290039,
601.548828125, -8.929712295532227, -77.63892364501953,
606.529296875, 66.27598571777344, -52.81819152832031,
607.41748046875, 28.701736450195312, 95.92936706542969,
740.409912109375, -3.543835163116455, 136.7925567626953,
611.9541015625, -3.9824886322021484, 136.69175720214844,
1209.91943359375, -43.09770584106445, -72.23554229736328,
766.1845703125, -44.10626983642578, 169.00643920898438,
635.133544921875, 39.8355827331543, 72.09187316894531,
615.10400390625, 39.784271240234375, 72.14764404296875,
1008.544921875, 35.038124084472656, 77.15001678466797,
748.378662109375, 70.0318832397461, -27.559032440185547,
632.8963623046875, 70.07827758789062, -27.0428524017334,
644.7587890625, 31.15363121032715, 103.16233825683594,
743.5760498046875, 5.3843994140625, -62.23694610595703,
724.5780029296875, 5.188741207122803, -62.32706832885742,
702.9246826171875, 5.3194146156311035, -62.281166076660156,
608.148681640625, 68.8426284790039, -30.244422912597656,
738.8009033203125, -68.98613739013672, -66.53105926513672,
603.493896484375, 68.1265869140625, -30.288145065307617,
847.4237670898438, -62.949241638183594, -62.416748046875,
1236.66455078125, 71.6186294555664, -51.758602142333984,
919.4609985351562, 63.55083084106445, -41.460899353027344,
710.1792602539062, 63.4549674987793, -41.99924087524414,
649.5233154296875, 63.46165084838867, -41.8599853515625,
647.447509765625, 63.706787109375, -41.53861999511719,
720.06494140625, 75.14359283447266, -22.814865112304688,
700.025634765625, 75.15057373046875, -22.6910343170166,
1078.78564453125, 29.159088134765625, 96.48538208007812,
942.98388671875, 29.789546966552734, 96.04623413085938,
916.0966796875, 29.777420043945312, 96.14141845703125,
942.6548461914062, 64.30237579345703, -50.99343490600586,
919.4609985351562, 64.27705383300781, -50.77332305908203,
631.86474609375, -80.28485107421875, 158.1259765625,
733.9573974609375, 66.00125122070312, -51.93309020996094,
679.013671875, 43.78350067138672, 88.33441925048828,
606.404052734375, 81.77778625488281, -79.09078979492188,
763.18505859375, 66.71009063720703, -65.16455078125,
743.1728515625, 66.66304016113281, -65.24225616455078,
622.0386962890625, 66.62776184082031, -65.33280944824219,
1446.0986328125, 29.620773315429688, 95.03682708740234,
1310.29443359375, 29.751375198364258, 95.78987121582031,
918.2412109375, 28.3001651763916, 97.54914093017578,
624.330078125, 28.56982421875, 97.0729751586914,
630.60791015625, 28.105201721191406, 86.73712158203125,
629.3413696289062, 31.21616554260254, 110.39175415039062,
643.3521728515625, -43.796607971191406, 169.60226440429688,
818.3662109375, -69.96823120117188, -69.59780883789062,
638.6596069335938, -21.097091674804688, 55.620426177978516,
715.4816284179688, 63.6307258605957, -50.58321762084961,
626.7095336914062, 63.62548065185547, -50.50579833984375,
1180.43798828125, -17.587230682373047, -149.49766540527344,
678.82177734375, -17.68231964111328, -149.3939208984375,
627.3594970703125, 25.064891815185547, -100.10124206542969,
725.4722900390625, -64.92117309570312, -62.8258056640625,
669.1826171875, -64.7753677368164, -62.682010650634766,
1156.8958740234375, -73.59053039550781, 169.70401000976562,
601.6708984375, 36.20921325683594, 72.41278839111328,
638.87109375, -63.719032287597656, -60.73708724975586,
637.3237915039062, -63.786346435546875, -60.798439025878906,
608.256103515625, 50.88707733154297, -125.66519927978516,
636.4962768554688, 77.33389282226562, -66.65379333496094,
606.625244140625, 2.8155570030212402, -76.95643615722656,
729.2774658203125, -71.99002838134766, 4.807514190673828,
605.585205078125, -71.94671630859375, 4.475459098815918,
833.5426635742188, 70.71856689453125, -71.42205810546875,
833.043212890625, 70.78679656982422, -71.99884033203125,
814.8557739257812, 70.93207550048828, -71.42134857177734,
609.076416015625, 69.16278076171875, 17.07599449157715,
640.4718627929688, 81.46575927734375, -54.14748001098633,
714.4456787109375, 68.92532348632812, -28.22261619567871,
720.7935791015625, 71.54541778564453, -75.34341430664062,
838.2537841796875, -72.01573181152344, 2.827550172805786,
812.627685546875, 34.18196487426758, 103.50686645507812,
762.9050903320312, 61.85874557495117, 6.35377311706543,
626.70068359375, 61.74523162841797, 6.9644317626953125,
641.410888671875, 30.541160583496094, 102.341796875,
603.868896484375, 30.555768966674805, 102.24169921875,
801.0247192382812, 5.726665019989014, -74.05418395996094,
746.784423828125, 46.56196212768555, 7.90183687210083,
809.0462646484375, 60.5380744934082, -139.76113891601562,
637.4019775390625, 67.54768371582031, -65.02205657958984,
621.6051635742188, 67.65595245361328, -65.96446228027344,
620.451416015625, 67.1771469116211, -65.19483947753906,
614.5299072265625, 67.5186996459961, -65.99121856689453,
989.1721801757812, -66.83247375488281, -64.8646011352539,
936.2709350585938, -66.09724426269531, -64.56658935546875,
906.335205078125, -66.75443267822266, -64.4761734008789,
746.37109375, 47.53610610961914, 13.661993980407715,
646.4788818359375, 47.507164001464844, 13.531604766845703,
1110.990234375, -78.41228485107422, -85.98609161376953,
1038.066650390625, -78.43861389160156, -85.8756332397461,
